                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.00436,                      1,                      1,                0.31337,               0.002872,               0.002872,               0.002872
                     75,                0.00272,                      1,                      1,                0.31336,               0.002773,               0.002773,               0.002773
                     76,                 0.0028,                      1,                      1,                0.31335,               0.002674,               0.002674,               0.002674
                     77,                0.00437,                      1,                      1,                0.31336,               0.002575,               0.002575,               0.002575
                     78,                0.00238,                      1,                      1,                0.31335,               0.002476,               0.002476,               0.002476
                     79,                0.00242,                      1,                      1,                0.31334,               0.002377,               0.002377,               0.002377
                     80,                 0.0029,                      1,                      1,                0.31332,               0.002278,               0.002278,               0.002278
                     81,                0.00335,                      1,                      1,                0.31332,               0.002179,               0.002179,               0.002179
                     82,                0.00254,                      1,                      1,                0.31332,                0.00208,                0.00208,                0.00208
                     83,                0.00214,                      1,                      1,                0.31331,               0.001981,               0.001981,               0.001981
                     84,                0.00457,                      1,                      1,                0.31331,               0.001882,               0.001882,               0.001882
                     85,                0.00316,                      1,                      1,                 0.3133,               0.001783,               0.001783,               0.001783
                     86,                0.00334,                      1,                      1,                 0.3133,               0.001684,               0.001684,               0.001684
                     87,                0.00174,                      1,                      1,                 0.3133,               0.001585,               0.001585,               0.001585
                     88,                0.00218,                      1,                      1,                 0.3133,               0.001486,               0.001486,               0.001486
                     89,                0.00193,                      1,                      1,                0.31329,               0.001387,               0.001387,               0.001387
                     90,                0.00264,                      1,                      1,                0.31329,               0.001288,               0.001288,               0.001288
                     91,                0.00179,                      1,                      1,                0.31329,               0.001189,               0.001189,               0.001189
                     92,                0.00227,                      1,                      1,                0.31329,                0.00109,                0.00109,                0.00109
                     93,                0.00226,                      1,                      1,                0.31329,               0.000991,               0.000991,               0.000991
                     94,                0.00122,                      1,                      1,                0.31329,               0.000892,               0.000892,               0.000892
                     95,                0.00177,                      1,                      1,                0.31329,               0.000793,               0.000793,               0.000793
                     96,                0.00135,                      1,                      1,                0.31329,               0.000694,               0.000694,               0.000694
                     97,                0.00141,                      1,                      1,                0.31329,               0.000595,               0.000595,               0.000595
                     98,                0.00196,                      1,                      1,                0.31329,               0.000496,               0.000496,               0.000496
                     99,                0.00125,                      1,                      1,                0.31329,               0.000397,               0.000397,               0.000397
                    100,                0.00202,                      1,                      1,                0.31329,               0.000298,               0.000298,               0.000298
