                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34356,                      1,                      1,                0.33139,              0.0002372,              0.0002372,              0.0002372
                      2,                0.10454,                0.99227,                      1,                0.32563,              0.0004705,              0.0004705,              0.0004705
                      3,                0.07309,                0.99227,                      1,                0.32234,             0.00069908,             0.00069908,             0.00069908
                      4,                0.06296,                0.97423,                      1,                0.33721,             0.00069279,             0.00069279,             0.00069279
                      5,                0.06131,                0.98969,                      1,                  0.327,             0.00069279,             0.00069279,             0.00069279
                      6,                0.04263,                      1,                      1,                0.31785,             0.00068573,             0.00068573,             0.00068573
                      7,                0.04159,                      1,                      1,                0.31548,             0.00067866,             0.00067866,             0.00067866
                      8,                0.03592,                0.99742,                      1,                0.31826,             0.00067159,             0.00067159,             0.00067159
                      9,                0.02891,                      1,                      1,                0.31466,             0.00066452,             0.00066452,             0.00066452
                     10,                0.02745,                      1,                      1,                0.31696,             0.00065745,             0.00065745,             0.00065745
                     11,                0.03514,                      1,                      1,                0.31432,             0.00065038,             0.00065038,             0.00065038
                     12,                0.02729,                0.99742,                      1,                0.31824,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01973,                      1,                      1,                0.31498,             0.00063625,             0.00063625,             0.00063625
                     14,                0.02912,                0.99485,                      1,                0.31718,             0.00062918,             0.00062918,             0.00062918
                     15,                 0.0289,                0.99742,                      1,                0.31589,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01818,                0.99742,                      1,                 0.3157,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01679,                      1,                      1,                0.31496,             0.00060797,             0.00060797,             0.00060797
                     18,                 0.0125,                0.99742,                      1,                0.31688,              0.0006009,              0.0006009,              0.0006009
                     19,                0.01575,                0.99742,                      1,                0.31445,             0.00059383,             0.00059383,             0.00059383
                     20,                0.01327,                0.99485,                      1,                0.31666,             0.00058677,             0.00058677,             0.00058677
                     21,                0.01116,                0.99485,                      1,                0.31655,              0.0005797,              0.0005797,              0.0005797
                     22,                0.01717,                0.99742,                      1,                0.31847,             0.00057263,             0.00057263,             0.00057263
